epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,467.279,1.05976,1.64239,0.60291,0.89691,0.90281,0.88348,0.89231,0.4598,0.89965,0.87619,0.87761,0.41468,1.24666,2.34431,0.64549,0.95233,0.00179408,0.00179408,0.00179408
106,471.64,1.09201,1.62227,0.60553,0.8865,0.89815,0.88559,0.89276,0.44776,0.89091,0.87083,0.86673,0.39892,1.29837,2.3995,0.67344,0.96307,0.0017921,0.0017921,0.0017921
107,475.773,1.04923,1.53624,0.59429,0.89147,0.91688,0.90477,0.91595,0.47963,0.89908,0.8776,0.8778,0.41172,1.22409,2.16147,0.63389,0.93624,0.00179012,0.00179012,0.00179012
108,479.689,1.11687,1.67629,0.61406,0.90155,0.91722,0.88846,0.90546,0.4711,0.88657,0.86048,0.85704,0.40473,1.20298,2.2359,0.62526,0.93406,0.00178814,0.00178814,0.00178814
109,483.823,1.06281,1.66225,0.59711,0.90018,0.90696,0.88271,0.90519,0.46864,0.87488,0.85972,0.86554,0.40406,1.30471,2.23619,0.63793,0.94945,0.00178616,0.00178616,0.00178616
110,488.305,1.06102,1.5742,0.59679,0.89043,0.90462,0.89536,0.90923,0.46944,0.87824,0.87642,0.87101,0.40409,1.28766,2.22256,0.64364,0.9495,0.00178418,0.00178418,0.00178418
111,492.634,1.06156,1.61532,0.60492,0.89219,0.90385,0.89268,0.89984,0.46921,0.87307,0.86211,0.86068,0.40296,1.25958,2.29263,0.63678,0.94904,0.0017822,0.0017822,0.0017822
112,496.867,1.07394,1.62567,0.5999,0.88997,0.91131,0.90149,0.91522,0.49279,0.88302,0.87351,0.87213,0.4163,1.25705,2.1666,0.63944,0.94103,0.00178022,0.00178022,0.00178022
113,501.275,1.06633,1.6261,0.60498,0.88934,0.90138,0.88627,0.90036,0.48233,0.88504,0.85866,0.86923,0.42093,1.25604,2.32065,0.6389,0.94457,0.00177824,0.00177824,0.00177824
114,505.486,1.07091,1.62393,0.59825,0.89513,0.9036,0.89996,0.90826,0.48862,0.89868,0.86432,0.87902,0.43026,1.28098,2.26761,0.63386,0.94702,0.00177626,0.00177626,0.00177626
115,509.858,1.02125,1.52851,0.57428,0.88509,0.91984,0.884,0.91324,0.49215,0.9066,0.86313,0.88788,0.44404,1.2783,2.27283,0.62181,0.94485,0.00177428,0.00177428,0.00177428
116,514.152,1.08272,1.71496,0.60695,0.91256,0.91198,0.89355,0.90881,0.48603,0.89323,0.85939,0.8721,0.42719,1.22787,2.25005,0.61391,0.93892,0.0017723,0.0017723,0.0017723
117,518.729,1.09992,1.65328,0.61244,0.88954,0.91431,0.88748,0.90248,0.46625,0.9011,0.86607,0.87347,0.41227,1.28085,2.36287,0.64396,0.94579,0.00177032,0.00177032,0.00177032
118,523.045,1.10983,1.64976,0.60485,0.90084,0.92126,0.8969,0.9129,0.4762,0.90734,0.88041,0.88772,0.43269,1.27379,2.18845,0.63889,0.94174,0.00176834,0.00176834,0.00176834
119,527.036,1.10429,1.67308,0.60531,0.90744,0.92221,0.89974,0.91728,0.49971,0.90846,0.8825,0.89027,0.4395,1.1873,2.09053,0.62151,0.92944,0.00176636,0.00176636,0.00176636
120,531.142,1.04115,1.58421,0.59401,0.89472,0.91272,0.89785,0.90839,0.47895,0.90145,0.88233,0.88275,0.42934,1.2412,2.24152,0.6264,0.93859,0.00176438,0.00176438,0.00176438
121,535.519,1.06069,1.61718,0.59151,0.89699,0.91921,0.90686,0.91896,0.49957,0.90153,0.88501,0.88742,0.43768,1.28893,2.1175,0.63161,0.94563,0.0017624,0.0017624,0.0017624
122,539.857,1.04501,1.50216,0.58759,0.87553,0.91745,0.90916,0.9181,0.5022,0.90384,0.88622,0.89108,0.43977,1.25013,2.14935,0.63296,0.94173,0.00176042,0.00176042,0.00176042
123,544.151,1.04459,1.59588,0.59169,0.88263,0.92017,0.8969,0.90679,0.4803,0.89781,0.87965,0.88127,0.42949,1.23472,2.2569,0.6178,0.9412,0.00175844,0.00175844,0.00175844
124,548.609,1.0637,1.65489,0.59887,0.90007,0.9178,0.89345,0.90716,0.49055,0.90255,0.87888,0.88511,0.43234,1.21548,2.13515,0.61651,0.93492,0.00175646,0.00175646,0.00175646
