epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,335.329,1.08434,0.57075,0.90213,0.92907,0.88864,0.91218,0.46467,1.24313,0.60029,0.93881,0.00175052,0.00175052,0.00175052
128,337.915,1.10199,0.57309,0.8933,0.91358,0.89038,0.90839,0.44026,1.30316,0.61683,0.95193,0.00174854,0.00174854,0.00174854
129,340.477,1.05136,0.55657,0.88691,0.91054,0.89191,0.91109,0.49413,1.22669,0.58663,0.95064,0.00174656,0.00174656,0.00174656
130,343.019,1.04288,0.55486,0.89777,0.91468,0.89574,0.91795,0.50378,1.247,0.58739,0.95332,0.00174458,0.00174458,0.00174458
131,345.547,1.06587,0.56066,0.89577,0.9201,0.90609,0.9218,0.49432,1.22087,0.57783,0.94625,0.0017426,0.0017426,0.0017426
132,348,1.04595,0.55159,0.89856,0.92494,0.90034,0.9238,0.49068,1.20564,0.57661,0.94044,0.00174062,0.00174062,0.00174062
133,350.634,1.03757,0.55549,0.8992,0.91455,0.89958,0.91538,0.48422,1.27593,0.58753,0.95328,0.00173864,0.00173864,0.00173864
134,353.01,1.02668,0.54639,0.88498,0.91875,0.91015,0.92943,0.52379,1.1949,0.56831,0.93681,0.00173666,0.00173666,0.00173666
135,355.467,1.08442,0.5643,0.90476,0.92441,0.90724,0.92589,0.50754,1.24634,0.5778,0.94861,0.00173468,0.00173468,0.00173468
136,357.934,1.10305,0.57601,0.90387,0.92226,0.91031,0.92656,0.50664,1.22605,0.57501,0.9451,0.0017327,0.0017327,0.0017327
137,360.551,1.1046,0.56705,0.90408,0.91764,0.89686,0.91701,0.47498,1.21516,0.57901,0.94354,0.00173072,0.00173072,0.00173072
138,363.038,1.04971,0.55806,0.89508,0.93743,0.90648,0.93692,0.52227,1.18851,0.56582,0.93606,0.00172874,0.00172874,0.00172874
139,365.681,1.0948,0.56677,0.88478,0.90547,0.89583,0.90777,0.47265,1.22145,0.59545,0.94952,0.00172676,0.00172676,0.00172676
140,368.61,1.10359,0.58574,0.89627,0.9046,0.89498,0.9095,0.474,1.21541,0.60531,0.94882,0.00172478,0.00172478,0.00172478
141,371.265,1.07195,0.57503,0.8969,0.91739,0.90188,0.923,0.49471,1.30077,0.59481,0.95743,0.0017228,0.0017228,0.0017228
142,373.883,1.07054,0.55063,0.89259,0.91197,0.89115,0.90928,0.47209,1.30243,0.60606,0.9655,0.00172082,0.00172082,0.00172082
143,376.442,1.11316,0.59239,0.9051,0.91005,0.89581,0.91083,0.48234,1.22636,0.59713,0.94823,0.00171884,0.00171884,0.00171884
144,378.916,1.08893,0.57798,0.90824,0.9166,0.8973,0.91937,0.47977,1.23951,0.60117,0.9457,0.00171686,0.00171686,0.00171686
