epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,959.195,1.15168,1.71191,0.63396,0.91677,0.93931,0.86199,0.92615,0.55536,0.89522,0.79249,0.86145,0.32232,1.46969,1.95514,0.70074,0.88741,0.00179408,0.00179408,0.00179408
106,968.2,1.17916,1.75492,0.65247,0.92241,0.9473,0.84615,0.91712,0.57034,0.91333,0.81448,0.87513,0.32587,1.38996,1.86612,0.69186,0.88385,0.0017921,0.0017921,0.0017921
107,977.293,1.25233,1.84142,0.69428,0.94122,0.91367,0.88599,0.93547,0.63125,0.9023,0.87104,0.91932,0.46335,1.16598,1.67222,0.63882,0.85871,0.00179012,0.00179012,0.00179012
108,986.492,1.18819,1.77521,0.6633,0.93438,0.91878,0.87014,0.92753,0.57136,0.91342,0.8115,0.88113,0.34475,1.38843,1.95898,0.70721,0.87669,0.00178814,0.00178814,0.00178814
109,995.571,1.18382,1.75847,0.63403,0.91336,0.93825,0.85948,0.92227,0.60847,0.90848,0.82579,0.87979,0.36072,1.2421,1.80743,0.65796,0.86669,0.00178616,0.00178616,0.00178616
110,1004.38,1.22328,1.78629,0.66064,0.93782,0.9374,0.86199,0.92542,0.60863,0.92018,0.84389,0.90426,0.3832,1.24867,1.81887,0.67677,0.86778,0.00178418,0.00178418,0.00178418
111,1013.26,1.15119,1.71885,0.6556,0.9256,0.94518,0.85826,0.91764,0.5888,0.92724,0.84389,0.88724,0.36946,1.32818,1.89059,0.70503,0.87548,0.0017822,0.0017822,0.0017822
112,1022.12,1.09547,1.61959,0.77102,0.89992,0.94562,0.86425,0.9181,0.58261,0.92307,0.83937,0.89546,0.38135,1.34457,1.8331,0.67881,0.87517,0.00178022,0.00178022,0.00178022
113,1030.97,1.1385,1.70062,0.64103,0.926,0.93697,0.88235,0.93892,0.61981,0.91597,0.83032,0.9065,0.41615,1.21838,1.77439,0.66754,0.86147,0.00177824,0.00177824,0.00177824
114,1039.64,1.16617,1.7356,0.644,0.92135,0.92835,0.86878,0.93374,0.6276,0.89959,0.81077,0.89057,0.37074,1.19554,1.7962,0.66079,0.86143,0.00177626,0.00177626,0.00177626
115,1048.37,1.11776,1.64025,0.6135,0.89787,0.93889,0.85747,0.92452,0.62288,0.91949,0.819,0.89249,0.40297,1.16621,1.71633,0.65351,0.86226,0.00177428,0.00177428,0.00177428
116,1057.63,1.15741,1.68832,0.63313,0.91859,0.94522,0.85876,0.9278,0.62419,0.93268,0.84629,0.92048,0.42117,1.17342,1.6971,0.6579,0.8627,0.0017723,0.0017723,0.0017723
117,1066.75,1.17696,1.73943,0.63525,0.91457,0.93943,0.86199,0.9257,0.60682,0.92689,0.83181,0.89418,0.3683,1.26028,1.8061,0.65978,0.87127,0.00177032,0.00177032,0.00177032
118,1075.58,1.16871,1.6981,0.64836,0.91992,0.91576,0.88541,0.93804,0.59996,0.92927,0.83258,0.90538,0.38496,1.31784,1.91513,0.66717,0.87394,0.00176834,0.00176834,0.00176834
119,1084.49,1.16731,1.68606,0.64688,0.91579,0.93957,0.85747,0.93817,0.60138,0.91757,0.85068,0.90804,0.39345,1.29286,1.92186,0.65562,0.87034,0.00176636,0.00176636,0.00176636
120,1093.67,1.15002,1.69204,0.62782,0.91264,0.92624,0.88078,0.93129,0.57091,0.91058,0.85241,0.90883,0.36963,1.37181,1.93038,0.68761,0.87819,0.00176438,0.00176438,0.00176438
121,1102.87,1.15608,1.69652,0.64023,0.92221,0.92122,0.89367,0.93266,0.58672,0.90232,0.84842,0.89748,0.36981,1.3086,1.90971,0.67672,0.87536,0.0017624,0.0017624,0.0017624
122,1112.32,1.17144,1.74235,0.63399,0.9336,0.92826,0.87826,0.93548,0.64982,0.90418,0.83257,0.89948,0.40645,1.10051,1.70562,0.63519,0.85744,0.00176042,0.00176042,0.00176042
